areaid,value,stationLatitude,stationLongitude
74,"37.54958344, 127.03024292",37.54958344,127.03024292
75,"37.58562851, 127.00067902",37.58562851,127.00067902
76,"37.56699371, 127.00346375",37.56699371,127.00346375
77,"37.55483627, 127.13732147",37.55483627,127.13732147
78,"37.55580902, 127.1737442",37.55580902,127.1737442
79,"37.55805206, 127.04035187",37.55805206,127.04035187
80,"37.56014633, 127.02635956",37.56014633,127.02635956
81,"37.56068039, 127.02677917",37.56068039,127.02677917
82,"37.59282684, 127.01628876",37.59282684,127.01628876
83,"37.56351089, 127.05672455",37.56351089,127.05672455
84,"37.56565857, 127.08429718",37.56565857,127.08429718
85,"37.56764984, 127.05115509",37.56764984,127.05115509
86,"37.57527161, 127.02346802",37.57527161,127.02346802
87,"37.57366562, 127.03081512",37.57366562,127.03081512
88,"37.57594681, 127.03736115",37.57594681,127.03736115
89,"37.5801506, 127.04579926",37.5801506,127.04579926
90,"37.58111191, 127.08010101",37.58111191,127.08010101
91,"37.6186409, 127.03623962",37.6186409,127.03623962
92,"37.62673187, 127.03877258",37.62673187,127.03877258
93,"37.59275818, 127.07266998",37.59275818,127.07266998
94,"37.59788513, 127.09126282",37.59788513,127.09126282
95,"37.68972015, 127.04519653",37.68972015,127.04519653
96,"37.68523407, 127.04985809",37.68523407,127.04985809
97,"37.60868073, 127.10079193",37.60868073,127.10079193
98,"37.68859863, 127.05340576",37.68859863,127.05340576
99,"37.61743927, 127.10901642",37.61743927,127.10901642
100,"37.62266159, 127.06189728",37.62266159,127.06189728
101,"37.62994003, 127.07655334",37.62994003,127.07655334
102,"37.65999985, 127.07296753",37.65999985,127.07296753
1,"37.44765854, 127.05501556",37.44765854,127.05501556
2,"37.45375061, 127.05937958",37.45375061,127.05937958
3,"37.45560837, 127.06445312",37.45560837,127.06445312
4,"37.4585495, 127.05588531",37.4585495,127.05588531
5,"37.46263885, 127.02661896",37.46263885,127.02661896
6,"37.46506119, 127.10119629",37.46506119,127.10119629
7,"37.46768951, 127.0403595",37.46768951,127.0403595
8,"37.47043991, 127.03885651",37.47043991,127.03885651
9,"37.47192764, 127.02684021",37.47192764,127.02684021
10,"37.47361374, 127.03050995",37.47361374,127.03050995
11,"37.47518158, 127.00138855",37.47518158,127.00138855
12,"37.47602844, 127.10594177",37.47602844,127.10594177
13,"37.477211, 127.13717651",37.477211,127.13717651
14,"37.47782898, 127.03826904",37.47782898,127.03826904
15,"37.47880936, 127.12000275",37.47880936,127.12000275
16,"37.47929001, 127.05573273",37.47929001,127.05573273
17,"37.48080063, 127.13034058",37.48080063,127.13034058
18,"37.48138428, 127.05391693",37.48138428,127.05391693
19,"37.48209, 127.11974335",37.48209,127.11974335
20,"37.48303986, 127.02146149",37.48303986,127.02146149
21,"37.48398972, 127.03417969",37.48398972,127.03417969
22,"37.48479843, 127.03699493",37.48479843,127.03699493
23,"37.48521805, 127.11540222",37.48521805,127.11540222
24,"37.48616028, 127.06723785",37.48616028,127.06723785
25,"37.48677826, 127.10051727",37.48677826,127.10051727
26,"37.48735046, 127.10099792",37.48735046,127.10099792
27,"37.48897171, 127.05182648",37.48897171,127.05182648
28,"37.48934174, 127.04129791",37.48934174,127.04129791
29,"37.49055099, 127.03146362",37.49055099,127.03146362
30,"37.49180984, 127.07315826",37.49180984,127.07315826
31,"37.49312592, 127.14382172",37.49312592,127.14382172
32,"37.49411774, 127.06290436",37.49411774,127.06290436
33,"37.49535751, 127.11569214",37.49535751,127.11569214
34,"37.49577332, 127.12458038",37.49577332,127.12458038
35,"37.49704742, 127.14035034",37.49704742,127.14035034
36,"37.49847031, 127.03011322",37.49847031,127.03011322
37,"37.49998474, 127.13539124",37.49998474,127.13539124
38,"37.50065231, 127.01861572",37.50065231,127.01861572
39,"37.50194931, 127.04277039",37.50194931,127.04277039
40,"37.50259399, 127.1276474",37.50259399,127.1276474
41,"37.50362396, 127.10355377",37.50362396,127.10355377
42,"37.504673, 127.02579498",37.504673,127.02579498
43,"37.50542831, 127.0528717",37.50542831,127.0528717
44,"37.50619888, 127.0039444",37.50619888,127.0039444
45,"37.50693893, 127.13922119",37.50693893,127.13922119
46,"37.50847626, 127.01676178",37.50847626,127.01676178
47,"37.50958633, 127.04090881",37.50958633,127.04090881
48,"37.51128006, 127.07823944",37.51128006,127.07823944
49,"37.51198196, 127.08505249",37.51198196,127.08505249
50,"37.51304626, 127.00595856",37.51304626,127.00595856
51,"37.51357651, 127.05503082",37.51357651,127.05503082
52,"37.51435852, 127.10619354",37.51435852,127.10619354
53,"37.51678467, 127.05161285",37.51678467,127.05161285
54,"37.51863861, 127.03540039",37.51863861,127.03540039
55,"37.52026749, 127.01525116",37.52026749,127.01525116
56,"37.52193832, 127.13186646",37.52193832,127.13186646
57,"37.5239296, 127.1291275",37.5239296,127.1291275
58,"37.52684402, 127.02825928",37.52684402,127.02825928
59,"37.52930069, 127.03559875",37.52930069,127.03559875
60,"37.53099442, 127.14237213",37.53099442,127.14237213
61,"37.53377914, 127.13799286",37.53377914,127.13799286
62,"37.53507233, 127.07611084",37.53507233,127.07611084
63,"37.53596115, 127.14781952",37.53596115,127.14781952
64,"37.53657913, 127.0929718",37.53657913,127.0929718
65,"37.53784943, 127.09217072",37.53784943,127.09217072
66,"37.53950119, 127.08300018",37.53950119,127.08300018
67,"37.54115295, 127.00221252",37.54115295,127.00221252
68,"37.54195786, 127.04277039",37.54195786,127.04277039
69,"37.54366302, 127.01406097",37.54366302,127.01406097
70,"37.54504013, 127.08995819",37.54504013,127.08995819
71,"37.54653549, 127.15583801",37.54653549,127.15583801
72,"37.54758453, 127.00643921",37.54758453,127.00643921
73,"37.54840469, 127.06936646",37.54840469,127.06936646
74,"37.54978943, 127.07592773",37.54978943,127.07592773
75,"37.5510788, 127.16259766",37.5510788,127.16259766
76,"37.55453873, 127.04377747",37.55453873,127.04377747
77,"37.55477905, 127.02484131",37.55477905,127.02484131
78,"37.58924866, 127.00737762",37.58924866,127.00737762
79,"37.60243988, 127.01168823",37.60243988,127.01168823
80,"37.55939865, 127.17118073",37.55939865,127.17118073
81,"37.56036758, 127.15659332",37.56036758,127.15659332
82,"37.56148911, 127.02393341",37.56148911,127.02393341
83,"37.56339645, 127.04187012",37.56339645,127.04187012
84,"37.56520462, 127.04184723",37.56520462,127.04184723
85,"37.5970993, 127.02262878",37.5970993,127.02262878
86,"37.5701561, 127.04858398",37.5701561,127.04858398
87,"37.57308578, 127.05216217",37.57308578,127.05216217
88,"37.57485199, 127.04030609",37.57485199,127.04030609
89,"37.57799911, 127.03762817",37.57799911,127.03762817
90,"37.58105469, 127.08209229",37.58105469,127.08209229
91,"37.58462524, 127.07028961",37.58462524,127.07028961
92,"37.58890152, 127.08728027",37.58890152,127.08728027
93,"37.59238434, 127.05741119",37.59238434,127.05741119
94,"37.59552002, 127.09877777",37.59552002,127.09877777
95,"37.59995651, 127.08000183",37.59995651,127.08000183
96,"37.60646057, 127.06162262",37.60646057,127.06162262
97,"37.60982132, 127.07813263",37.60982132,127.07813263
98,"37.61355591, 127.06609344",37.61355591,127.06609344
99,"37.61671066, 127.11073303",37.61671066,127.11073303
100,"37.63162231, 127.06161499",37.63162231,127.06161499
101,"37.66070938, 127.06533051",37.66070938,127.06533051
102,"37.64580154, 127.08226013",37.64580154,127.08226013
1,"37.44893646, 127.05437469",37.44893646,127.05437469
2,"37.45435715, 127.06210327",37.45435715,127.06210327
3,"37.45561981, 127.06710052",37.45561981,127.06710052
4,"37.45924759, 127.04163361",37.45924759,127.04163361
5,"37.46268845, 127.04611206",37.46268845,127.04611206
6,"37.46531677, 127.10772705",37.46531677,127.10772705
7,"37.46829605, 127.10469818",37.46829605,127.10469818
8,"37.47064972, 127.12711334",37.47064972,127.12711334
9,"37.47200012, 127.0513382",37.47200012,127.0513382
10,"37.47437668, 127.14067078",37.47437668,127.14067078
11,"37.47560501, 127.05037689",37.47560501,127.05037689
12,"37.47662735, 126.94364166",37.47662735,126.94364166
13,"37.4773407, 127.11327362",37.4773407,127.11327362
14,"37.47813034, 127.1472168",37.47813034,127.1472168
15,"37.4788208, 127.12351227",37.4788208,127.12351227
16,"37.47930527, 127.12979889",37.47930527,127.12979889
17,"37.48084259, 127.11801147",37.48084259,127.11801147
18,"37.48149109, 127.03672791",37.48149109,127.03672791
19,"37.48215866, 127.00270081",37.48215866,127.00270081
20,"37.48326111, 127.0522995",37.48326111,127.0522995
21,"37.48416138, 127.01097107",37.48416138,127.01097107
22,"37.48485184, 127.0583725",37.48485184,127.0583725
23,"37.48537827, 127.04170227",37.48537827,127.04170227
24,"37.48646927, 127.02806091",37.48646927,127.02806091
25,"37.48683548, 127.10275269",37.48683548,127.10275269
26,"37.48768234, 127.0247879",37.48768234,127.0247879
27,"37.48907089, 127.10929871",37.48907089,127.10929871
28,"37.48987198, 127.11083984",37.48987198,127.11083984
29,"37.49068832, 127.14312744",37.49068832,127.14312744
30,"37.4919281, 127.05696869",37.4919281,127.05696869
31,"37.49317932, 127.11854553",37.49317932,127.11854553
32,"37.49416733, 127.10453033",37.49416733,127.10453033
33,"37.4955368, 127.10720062",37.4955368,127.10720062
34,"37.4958992, 127.05219269",37.4958992,127.05219269
35,"37.49721146, 127.00427246",37.49721146,127.00427246
36,"37.49892807, 127.02472687",37.49892807,127.02472687
37,"37.50004959, 127.11151123",37.50004959,127.11151123
38,"37.50134277, 127.05046844",37.50134277,127.05046844
39,"37.50221252, 127.06720734",37.50221252,127.06720734
40,"37.50263596, 127.01231384",37.50263596,127.01231384
41,"37.50364304, 127.01602173",37.50364304,127.01602173
42,"37.50471115, 127.08756256",37.50471115,127.08756256
43,"37.50544357, 127.13233185",37.50544357,127.13233185
44,"37.50630188, 127.12139893",37.50630188,127.12139893
45,"37.50723267, 127.05685425",37.50723267,127.05685425
46,"37.50867844, 127.1034317",37.50867844,127.1034317
47,"37.50997543, 127.13369751",37.50997543,127.13369751
48,"37.51129532, 127.08673859",37.51129532,127.08673859
49,"37.51202011, 127.12864685",37.51202011,127.12864685
50,"37.51312637, 127.10095978",37.51312637,127.10095978
51,"37.51395035, 127.03015137",37.51395035,127.03015137
52,"37.51474762, 127.03513336",37.51474762,127.03513336
53,"37.51681137, 127.04047394",37.51681137,127.04047394
54,"37.51871109, 127.05084991",37.51871109,127.05084991
55,"37.52045059, 127.10420227",37.52045059,127.10420227
56,"37.52197647, 127.13362122",37.52197647,127.13362122
57,"37.5240097, 127.00144958",37.5240097,127.00144958
58,"37.52703094, 127.12206268",37.52703094,127.12206268
59,"37.52956009, 127.1490097",37.52956009,127.1490097
60,"37.53120804, 127.1492691",37.53120804,127.1492691
61,"37.53450775, 127.13840485",37.53450775,127.13840485
62,"37.53514099, 127.00600433",37.53514099,127.00600433
63,"37.53596878, 127.09467316",37.53596878,127.09467316
64,"37.53680801, 127.05548859",37.53680801,127.05548859
65,"37.53805161, 127.07659912",37.53805161,127.07659912
66,"37.53956604, 127.0724411",37.53956604,127.0724411
67,"37.54122162, 127.04380035",37.54122162,127.04380035
68,"37.54205322, 127.020401",37.54205322,127.020401
69,"37.54370499, 127.09324646",37.54370499,127.09324646
70,"37.54516602, 127.05751038",37.54516602,127.05751038
71,"37.54654694, 127.10613251",37.54654694,127.10613251
72,"37.54782867, 127.07263184",37.54782867,127.07263184
73,"37.54848862, 127.09375763",37.54848862,127.09375763
74,"37.54988861, 127.00734711",37.54988861,127.00734711
75,"37.55089188, 127.04476166",37.55089188,127.04476166
76,"37.57650757, 127.00245667",37.57650757,127.00245667
77,"37.55456924, 127.14587402",37.55456924,127.14587402
78,"37.55570221, 127.15792084",37.55570221,127.15792084
79,"37.5567894, 127.16614532",37.5567894,127.16614532
80,"37.65568542, 127.01338196",37.65568542,127.01338196
81,"37.5604744, 127.01407623",37.5604744,127.01407623
82,"37.56144714, 127.03491974",37.56144714,127.03491974
83,"37.62652969, 127.01805878",37.62652969,127.01805878
84,"37.57447052, 127.0198288",37.57447052,127.0198288
85,"37.56764221, 127.0256958",37.56764221,127.0256958
86,"37.57110214, 127.02355957",37.57110214,127.02355957
87,"37.63796997, 127.02590179",37.63796997,127.02590179
88,"37.65165329, 127.02848816",37.65165329,127.02848816
89,"37.57779312, 127.05783081",37.57779312,127.05783081
90,"37.58040619, 127.04482269",37.58040619,127.04482269
91,"37.58369827, 127.0538559",37.58369827,127.0538559
92,"37.58751678, 127.05277252",37.58751678,127.05277252
93,"37.62991714, 127.04091644",37.62991714,127.04091644
94,"37.59529877, 127.08003235",37.59529877,127.08003235
95,"37.59909821, 127.09294891",37.59909821,127.09294891
96,"37.60606766, 127.0473175",37.60606766,127.0473175
97,"37.6073494, 127.07859039",37.6073494,127.07859039
98,"37.63074875, 127.05310822",37.63074875,127.05310822
99,"37.61707306, 127.0562439",37.61707306,127.0562439
100,"37.62155533, 127.06951141",37.62155533,127.06951141
101,"37.62981415, 127.06650543",37.62981415,127.06650543
102,"37.64340973, 127.07183838",37.64340973,127.07183838
1,"37.44896698, 127.05773926",37.44896698,127.05773926
2,"37.45440674, 127.06492615",37.45440674,127.06492615
3,"37.4557991, 127.01628876",37.4557991,127.01628876
4,"37.45924759, 127.02390289",37.45924759,127.02390289
5,"37.46332169, 127.03604126",37.46332169,127.03604126
6,"37.46632767, 127.09488678",37.46632767,127.09488678
7,"37.46920013, 127.02900696",37.46920013,127.02900696
8,"37.47129822, 127.12709045",37.47129822,127.12709045
9,"37.47245407, 127.09607697",37.47245407,127.09607697
10,"37.47438812, 127.03890228",37.47438812,127.03890228
11,"37.47590637, 127.04624176",37.47590637,127.04624176
12,"37.51158524, 126.84156036",37.51158524,126.84156036
13,"37.4774704, 127.14459229",37.4774704,127.14459229
14,"37.47820282, 127.00878143",37.47820282,127.00878143
15,"37.56290054, 126.84947205",37.56290054,126.84947205
16,"37.47946548, 127.12532806",37.47946548,127.12532806
17,"37.48087692, 127.01452637",37.48087692,127.01452637
18,"37.48153687, 127.12212372",37.48153687,127.12212372
19,"37.48236847, 127.06118774",37.48236847,127.06118774
20,"37.4833107, 127.08493805",37.4833107,127.08493805
21,"37.48416901, 127.09484863",37.48416901,127.09484863
22,"37.50452042, 126.87055206",37.50452042,126.87055206
23,"37.485672, 127.01592255",37.485672,127.01592255
24,"37.48656082, 127.08267212",37.48656082,127.08267212
25,"37.4873085, 127.01058197",37.4873085,127.01058197
26,"37.48799896, 127.13108826",37.48799896,127.13108826
27,"37.48899078, 126.91638184",37.48899078,126.91638184
28,"37.49053955, 127.00816345",37.49053955,127.00816345
29,"37.49095917, 127.05498505",37.49095917,127.05498505
30,"37.49195099, 127.00855255",37.49195099,127.00855255
31,"37.49319839, 127.1289978",37.49319839,127.1289978
32,"37.49421692, 127.01378632",37.49421692,127.01378632
33,"37.49556351, 127.0191803",37.49556351,127.0191803
34,"37.49618149, 127.13803101",37.49618149,127.13803101
35,"37.49741364, 127.09630585",37.49741364,127.09630585
36,"37.49941254, 127.11286926",37.49941254,127.11286926
37,"37.50024414, 127.03605652",37.50024414,127.03605652
38,"37.50149536, 127.14778137",37.50149536,127.14778137
39,"37.5022316, 127.0022583",37.5022316,127.0022583
40,"37.50264359, 127.09739685",37.50264359,127.09739685
41,"37.50375748, 127.13709259",37.50375748,127.13709259
42,"37.50508881, 127.02391052",37.50508881,127.02391052
43,"37.50546265, 127.0773468",37.50546265,127.0773468
44,"37.50636673, 127.03452301",37.50636673,127.03452301
45,"37.50735092, 127.00801849",37.50735092,127.00801849
46,"37.50883102, 127.13426208",37.50883102,127.13426208
47,"37.50997925, 127.11231232",37.50997925,127.11231232
48,"37.51146317, 127.07881165",37.51146317,127.07881165
49,"37.51208878, 127.09619141",37.51208878,127.09619141
50,"37.60119247, 126.92638397",37.60119247,126.92638397
51,"37.51396179, 127.12167358",37.51396179,127.12167358
52,"37.51583099, 127.10679626",37.51583099,127.10679626
53,"37.51728821, 127.11419678",37.51728821,127.11419678
54,"37.51890182, 127.04938507",37.51890182,127.04938507
55,"37.52048874, 127.1352005",37.52048874,127.1352005
56,"37.52330017, 127.03847504",37.52330017,127.03847504
57,"37.52407074, 127.02178955",37.52407074,127.02178955
58,"37.5271225, 127.02871704",37.5271225,127.02871704
59,"37.52974701, 127.1199646",37.52974701,127.1199646
60,"37.53131104, 127.11128235",37.53131104,127.11128235
61,"37.53379822, 126.98867035",37.53379822,126.98867035
62,"37.5352211, 127.06839752",37.5352211,127.06839752
63,"37.53600693, 127.12272644",37.53600693,127.12272644
64,"37.5368309, 127.12841797",37.5368309,127.12841797
65,"37.53809738, 127.08901978",37.53809738,127.08901978
66,"37.53965378, 127.05258942",37.53965378,127.05258942
67,"37.54124832, 127.06604004",37.54124832,127.06604004
68,"37.54246521, 127.09423065",37.54246521,127.09423065
69,"37.54395676, 127.12548828",37.54395676,127.12548828
70,"37.54523087, 127.08473206",37.54523087,127.08473206
71,"37.54683685, 127.14916229",37.54683685,127.14916229
72,"37.5479126, 127.06275177",37.5479126,127.06275177
73,"37.5485611, 127.0450058",37.5485611,127.0450058
74,"37.54998398, 127.17470551",37.54998398,127.17470551
75,"37.57114029, 127.00067139",37.57114029,127.00067139
76,"37.55305481, 127.15688324",37.55305481,127.15688324
77,"37.57543182, 127.00498199",37.57543182,127.00498199
78,"37.57131958, 127.00720978",37.57131958,127.00720978
79,"37.55672836, 127.13626099",37.55672836,127.13626099
80,"37.55924606, 127.07341003",37.55924606,127.07341003
81,"37.64793396, 127.01457214",37.64793396,127.01457214
82,"37.64308548, 127.01616669",37.64308548,127.01616669
83,"37.56370926, 127.05644989",37.56370926,127.05644989
84,"37.5653801, 127.0865097",37.5653801,127.0865097
85,"37.64355087, 127.0223465",37.64355087,127.0223465
86,"37.56965637, 127.05596161",37.56965637,127.05596161
87,"37.62733459, 127.02605438",37.62733459,127.02605438
88,"37.6198082, 127.02852631",37.6198082,127.02852631
89,"37.66562271, 127.03108978",37.66562271,127.03108978
90,"37.63539124, 127.03455353",37.63539124,127.03455353
91,"37.5907135, 127.03619385",37.5907135,127.03619385
92,"37.65446091, 127.03851318",37.65446091,127.03851318
93,"37.60108566, 127.04123688",37.60108566,127.04123688
94,"37.6475029, 127.04331207",37.6475029,127.04331207
95,"37.61980057, 127.04509735",37.61980057,127.04509735
96,"37.60520172, 127.07858276",37.60520172,127.07858276
97,"37.62485886, 127.05014038",37.62485886,127.05014038
98,"37.61362076, 127.10115051",37.61362076,127.10115051
99,"37.65024948, 127.05715179",37.65024948,127.05715179
100,"37.65397644, 127.06097412",37.65397644,127.06097412
101,"37.64352798, 127.06522369",37.64352798,127.06522369
102,"37.65032959, 127.07160187",37.65032959,127.07160187
1,"37.45066071, 127.05706024",37.45066071,127.05706024
2,"37.45441818, 127.052742",37.45441818,127.052742
3,"37.45623398, 127.01934814",37.45623398,127.01934814
4,"37.45995331, 127.02474213",37.45995331,127.02474213
5,"37.48259735, 126.82645416",37.48259735,126.82645416
6,"37.46738434, 127.04145813",37.46738434,127.04145813
7,"37.53304672, 126.82995605",37.53304672,126.82995605
8,"37.4917984, 126.83242035",37.4917984,126.83242035
9,"37.47248077, 126.89586639",37.47248077,126.89586639
10,"37.47457886, 127.05545044",37.47457886,127.05545044
11,"37.4754715, 126.93645477",37.4754715,126.93645477
12,"37.47677612, 126.96486664",37.47677612,126.96486664
13,"37.47750854, 127.12632751",37.47750854,127.12632751
14,"37.54853439, 126.84667206",37.54853439,126.84667206
15,"37.47908401, 126.87904358",37.47908401,126.87904358
16,"37.48054123, 127.1370163",37.48054123,127.1370163
17,"37.48088074, 127.06304169",37.48088074,127.06304169
18,"37.49034119, 126.8609314",37.49034119,126.8609314
19,"37.48257065, 127.03643799",37.48257065,127.03643799
20,"37.48366165, 126.98232269",37.48366165,126.98232269
21,"37.4845314, 127.12016296",37.4845314,127.12016296
22,"37.48476791, 126.93287659",37.48476791,126.93287659
23,"37.48574066, 127.05104828",37.48574066,127.05104828
24,"37.53458023, 126.8756485",37.53458023,126.8756485
25,"37.53025055, 126.87930298",37.53025055,126.87930298
26,"37.4882431, 127.02701569",37.4882431,127.02701569
27,"37.49750519, 126.88437653",37.49750519,126.88437653
28,"37.48974991, 126.92746735",37.48974991,126.92746735
29,"37.49100876, 127.02352142",37.49100876,127.02352142
30,"37.49206161, 127.03074646",37.49206161,127.03074646
31,"37.49325943, 127.02953339",37.49325943,127.02953339
32,"37.49423599, 127.04746246",37.49423599,127.04746246
33,"37.49565887, 127.15717316",37.49565887,127.15717316
34,"37.49619293, 127.02101135",37.49619293,127.02101135
35,"37.49751663, 127.15467834",37.49751663,127.15467834
36,"37.49959946, 127.03375244",37.49959946,127.03375244
37,"37.50043869, 127.06622314",37.50043869,127.06622314
38,"37.50154495, 127.03856659",37.50154495,127.03856659
39,"37.50231934, 127.0222702",37.50231934,127.0222702
40,"37.50311279, 126.96471405",37.50311279,126.96471405
41,"37.50381088, 127.0213623",37.50381088,127.0213623
42,"37.50509644, 127.0131073",37.50509644,127.0131073
43,"37.50550461, 127.10657501",37.50550461,127.10657501
44,"37.50656128, 127.09655762",37.50656128,127.09655762
45,"37.50786591, 127.11698914",37.50786591,127.11698914
46,"37.50887299, 127.08716583",37.50887299,127.08716583
47,"37.51019287, 127.00725555",37.51019287,127.00725555
48,"37.51151657, 127.02147675",37.51151657,127.02147675
49,"37.51210403, 127.10778046",37.51210403,127.10778046
50,"37.51335907, 126.94805908",37.51335907,126.94805908
51,"37.51396179, 127.10030365",37.51396179,127.10030365
52,"37.51588058, 127.01930237",37.51588058,127.01930237
53,"37.5175705, 127.02364349",37.5175705,127.02364349
54,"37.51913834, 127.02751923",37.51913834,127.02751923
55,"37.52058029, 127.05632782",37.52058029,127.05632782
56,"37.58333588, 126.93628693",37.58333588,126.93628693
57,"37.52452469, 127.11450958",37.52452469,127.11450958
58,"37.52745438, 127.04042816",37.52745438,127.04042816
59,"37.5297699, 127.07485962",37.5297699,127.07485962
60,"37.53147125, 127.11109161",37.53147125,127.11109161
61,"37.55812836, 126.95620728",37.55812836,126.95620728
62,"37.53544617, 127.14518738",37.53544617,127.14518738
63,"37.53620529, 127.13256073",37.53620529,127.13256073
64,"37.53699875, 127.12953186",37.53699875,127.12953186
65,"37.53813934, 127.00409698",37.53813934,127.00409698
66,"37.53989029, 127.07336426",37.53989029,127.07336426
67,"37.54136276, 127.13718414",37.54136276,127.13718414
68,"37.54251862, 127.08408356",37.54251862,127.08408356
69,"37.54404068, 127.02320099",37.54404068,127.02320099
70,"37.54526138, 127.12594604",37.54526138,127.12594604
71,"37.54684067, 127.17251587",37.54684067,127.17251587
72,"37.54792786, 127.01557159",37.54792786,127.01557159
73,"37.54863358, 127.02572632",37.54863358,127.02572632
74,"37.55003738, 127.14691162",37.55003738,127.14691162
75,"37.55120468, 127.06893158",37.55120468,127.06893158
76,"37.55332947, 127.1288681",37.55332947,127.1288681
77,"37.55887222, 127.00553894",37.55887222,127.00553894
78,"37.55582047, 127.12991333",37.55582047,127.12991333
79,"37.57146072, 127.01078796",37.57146072,127.01078796
80,"37.64032745, 127.01335907",37.64032745,127.01335907
81,"37.56060028, 127.146698",37.56060028,127.146698
82,"37.56179047, 127.02439117",37.56179047,127.02439117
83,"37.60935974, 127.01817322",37.60935974,127.01817322
84,"37.59148026, 127.02010345",37.59148026,127.02010345
85,"37.56797028, 127.04689026",37.56797028,127.04689026
86,"37.6362915, 127.02337646",37.6362915,127.02337646
87,"37.57358932, 127.08682251",37.57358932,127.08682251
88,"37.57575989, 127.04837036",37.57575989,127.04837036
89,"37.58644485, 127.03160095",37.58644485,127.03160095
90,"37.59928513, 127.03462219",37.59928513,127.03462219
91,"37.58412933, 127.05793762",37.58412933,127.05793762
