Unnamed: 0,stationId,id,stationName,rackTotCnt,stationLatitude,stationLongitude,address_name,region_1depth_name,region_2depth_name,region_3depth_name,main_address_no,sub_address_no,username,areaid
31,ST-39,137,NH농협 신촌지점 앞,12,37.55681229,126.9431839,서울 서대문구 대현동 60-11,서울,서대문구,대현동,60.0,11.0,bike58,58
32,ST-40,138,신촌동 제1공영주차장 앞,12,37.5591774,126.93452454,서울 서대문구 창천동 70-59,서울,서대문구,창천동,70.0,59.0,bike55,55
33,ST-43,139,연세대 정문 건너편,15,37.55979538,126.93447876,서울 서대문구 창천동 76-20,서울,서대문구,창천동,76.0,20.0,bike55,55
34,ST-41,140,이화여대 후문,22,37.560009,126.94073486,서울 서대문구 신촌동 89-4,서울,서대문구,신촌동,89.0,4.0,bike58,58
35,ST-42,141,연대 대운동장 옆,22,37.56238174,126.93264771,서울 서대문구 연희동 27,서울,서대문구,연희동,27.0,,bike54,54
36,ST-200,142,아현역 4번출구 앞,13,37.55720139,126.95566559,서울 마포구 아현동 329-15,서울,마포구,아현동,329.0,15.0,bike61,61
37,ST-201,143,공덕역 2번출구,11,37.54457855,126.9502182,서울 마포구 공덕동 467,서울,마포구,공덕동,467.0,,bike60,60
38,ST-202,144,공덕역 8번출구,12,37.5435791,126.95132446,서울 마포구 공덕동 438-5,서울,마포구,공덕동,438.0,5.0,bike60,60
39,ST-203,145,공덕역 5번출구,11,37.54425049,126.95163727,서울 마포구 공덕동 255-10,서울,마포구,공덕동,255.0,10.0,bike60,60
40,ST-204,146,마포역 2번출구 뒤,14,37.53993607,126.94582367,서울 마포구 도화동 555,서울,마포구,도화동,555.0,,bike59,59
41,ST-205,147,마포역 4번출구 뒤,9,37.53927231,126.94591522,서울 마포구 도화동 292-29,서울,마포구,도화동,292.0,29.0,bike59,59
42,ST-206,148,용강동 주민센터 앞,13,37.54234695,126.94302368,서울 마포구 용강동 502-2,서울,마포구,용강동,502.0,2.0,bike58,58
43,ST-207,150,서강대역 2번출구 앞,17,37.55295563,126.93434143,서울 마포구 노고산동 112-5,서울,마포구,노고산동,112.0,5.0,bike55,55
44,ST-208,151,망원1동주민센터,12,37.55568695,126.9055481,서울 마포구 망원동 403-2,서울,마포구,망원동,403.0,2.0,bike37,37
45,ST-209,152,마포구민체육센터 앞,32,37.55661011,126.89801788,서울 마포구 망원동 452-1,서울,마포구,망원동,452.0,1.0,bike33,33
46,ST-210,153,성산2교 사거리,12,37.56469727,126.91261292,서울 마포구 성산동 51-12,서울,마포구,성산동,51.0,12.0,bike41,41
47,ST-211,154,마포구청역 ,15,37.56090927,126.90549469,서울 마포구 망원동 477-23,서울,마포구,망원동,477.0,23.0,bike37,37
48,ST-212,155,가좌역1 번출구 뒤,17,37.56855011,126.91451263,서울 마포구 성산동 123-4,서울,마포구,성산동,123.0,4.0,bike42,42
49,ST-213,156,서울서부지방법원 앞,12,37.54990387,126.95514679,서울 마포구 공덕동 105-11,서울,마포구,공덕동,105.0,11.0,bike61,61
50,ST-214,157,애오개역 4번출구 앞,14,37.5530014,126.95668793,서울 마포구 아현동 607-1,서울,마포구,아현동,607.0,1.0,bike61,61
51,ST-215,158,독립문 어린이 공원,17,37.57125854,126.96047974,서울 서대문구 영천동 268-5,서울,서대문구,영천동,268.0,5.0,bike62,62
52,ST-216,159,이대역 4번 출구,9,37.55695343,126.94634247,서울 서대문구 대현동 60-11,서울,서대문구,대현동,60.0,11.0,bike59,59
53,ST-217,160,북아현동 가구거리,22,37.55754852,126.9593811,서울 서대문구 북아현동 251-78,서울,서대문구,북아현동,251.0,78.0,bike62,62
54,ST-218,161,무악재역1번 출구,10,37.58224487,126.95064545,서울 서대문구 홍제동 27-1,서울,서대문구,홍제동,27.0,1.0,bike60,60
55,ST-219,162,봉원고가차도 밑,17,37.56526947,126.94624329,서울 서대문구 대신동 143-1,서울,서대문구,대신동,143.0,1.0,bike59,59
56,ST-220,163,명지전문대학교 정문 앞,9,37.58369827,126.9249649,서울 서대문구 홍은동 356-1,서울,서대문구,홍은동,356.0,1.0,bike49,49
57,ST-221,164,북가좌1동 주민센터 ,12,37.57447815,126.91004944,서울 서대문구 북가좌동 475,서울,서대문구,북가좌동,475.0,,bike39,39
58,ST-222,165,중앙근린공원,22,37.57513809,126.91394043,서울 서대문구 북가좌동 480,서울,서대문구,북가좌동,480.0,,bike41,41
59,ST-223,166,가재울 초등학교,22,37.57327652,126.91967773,서울 서대문구 남가좌동 385-3,서울,서대문구,남가좌동,385.0,3.0,bike45,45
60,ST-224,167,연가초등학교 옆,17,37.57946014,126.91712952,서울 서대문구 북가좌동 70-119,서울,서대문구,북가좌동,70.0,119.0,bike43,43
61,ST-226,169,북가좌 삼거리,17,37.57300186,126.90779877,서울 서대문구 북가좌동 474-2,서울,서대문구,북가좌동,474.0,2.0,bike39,39
62,ST-227,170,가재울 뉴타운 주유소 옆,12,37.57311249,126.9224472,서울 서대문구 남가좌동 79-165,서울,서대문구,남가좌동,79.0,165.0,bike47,47
63,ST-228,171,임광빌딩 앞,12,37.56472397,126.96727753,서울 서대문구 미근동 171,서울,서대문구,미근동,171.0,,bike64,64
64,ST-230,173,서대문역 8번출구 앞,10,37.56477737,126.96614838,서울 서대문구 미근동 332,서울,서대문구,미근동,332.0,,bike64,64
65,ST-231,175,홍연2교옆,22,37.57807159,126.93081665,서울 서대문구 홍은동 277-152,서울,서대문구,홍은동,277.0,152.0,bike53,53
66,ST-555,176,명지대학교 도서관,12,37.58109665,126.92402649,서울 서대문구 남가좌동 50-3,서울,서대문구,남가좌동,50.0,3.0,bike48,48
67,ST-345,177,북가좌 초등학교,10,37.57767487,126.9098053,서울 서대문구 북가좌동 470-1,서울,서대문구,북가좌동,470.0,1.0,bike39,39
68,ST-349,178,증산3교 앞,12,37.57987595,126.90634918,서울 서대문구 북가좌동 352-9,서울,서대문구,북가좌동,352.0,9.0,bike38,38
69,ST-232,179,가좌역 4번출구 앞,17,37.56912231,126.91479492,서울 서대문구 남가좌동 293-3,서울,서대문구,남가좌동,293.0,3.0,bike42,42
70,ST-233,180,충정로역 7번출구 아래,12,37.55996704,126.96246338,서울 서대문구 충정로3가 56-1,서울,서대문구,충정로3가,56.0,1.0,bike63,63
71,ST-339,181,망원초록길 입구,17,37.55134201,126.90267181,서울 마포구 망원동 218-7,서울,마포구,망원동,218.0,7.0,bike36,36
72,ST-340,182,망원2빗물펌프장 앞,12,37.55156708,126.90284729,서울 마포구 망원동 211-43,서울,마포구,망원동,211.0,43.0,bike36,36
73,ST-341,183,하늘채코오롱아파트 건너편,17,37.56516647,126.91939545,서울 마포구 연남동 365-26,서울,마포구,연남동,365.0,26.0,bike45,45
74,ST-342,184,SK망원동주유소 건너편,11,37.55894852,126.90775299,서울 마포구 성산동 253-17,서울,마포구,성산동,253.0,17.0,bike38,38
75,ST-343,185,마포 신수공원 앞,17,37.54254532,126.93429565,서울 마포구 현석동 225-2,서울,마포구,현석동,225.0,2.0,bike55,55
76,ST-344,186,월드컵공원,42,37.56396484,126.89820862,서울 마포구 성산동 390-1,서울,마포구,성산동,390.0,1.0,bike34,34
77,ST-346,188,홍은동 정원여중 입구,12,37.58638763,126.93512726,서울 서대문구 홍은동 산 11-46,서울,서대문구,홍은동,11.0,46.0,bike55,55
78,ST-347,191,서우빌딩(바른학원),12,37.57889175,126.91073608,서울 서대문구 북가좌동 306-21,서울,서대문구,북가좌동,306.0,21.0,bike40,40
79,ST-348,192,연서어린이공원,12,37.57222748,126.92306519,서울 서대문구 연희동 519-7,서울,서대문구,연희동,519.0,7.0,bike48,48
80,ST-350,194,증산교 앞,12,37.57731628,126.90296936,서울 서대문구 북가좌동 415,서울,서대문구,북가좌동,415.0,,bike36,36
81,ST-351,195,모래내고가차도 ,12,37.56765747,126.91780853,서울 서대문구 연희동 375-10,서울,서대문구,연희동,375.0,10.0,bike43,43
82,ST-352,196,연희교차로 인근,12,37.56612015,126.92589569,서울 서대문구 연희동 413-38,서울,서대문구,연희동,413.0,38.0,bike50,50
83,ST-354,198,충정2교,17,37.5621376,126.96377563,서울 서대문구 충정로3가 145-13,서울,서대문구,충정로3가,145.0,13.0,bike63,63
84,ST-443,199,서울 월드컵 경기장,32,37.56684494,126.89644623,서울 마포구 성산동 534-11,서울,마포구,성산동,534.0,11.0,bike33,33
85,ST-45,200,국회의원회관,22,37.52841568,126.91391754,서울 영등포구 여의도동 1,서울,영등포구,여의도동,1.0,,bike41,41
86,ST-46,201,진미파라곤 앞,17,37.53123856,126.92133331,서울 영등포구 여의도동 13,서울,영등포구,여의도동,13.0,,bike46,46
87,ST-47,202,국민일보 앞,32,37.52881622,126.92453003,서울 영등포구 여의도동 12,서울,영등포구,여의도동,12.0,,bike49,49
88,ST-51,203,국회의사당역 3번출구 옆,17,37.5280571,126.91870117,서울 영등포구 여의도동 15-22,서울,영등포구,여의도동,15.0,22.0,bike44,44
89,ST-50,204,국회의사당역 5번출구 옆,15,37.52816391,126.91702271,서울 영등포구 여의도동 17-3,서울,영등포구,여의도동,17.0,3.0,bike43,43
90,ST-52,205,산업은행 앞,22,37.52626419,126.92050934,서울 영등포구 여의도동 16-3,서울,영등포구,여의도동,16.0,3.0,bike46,46
91,ST-53,206,KBS 앞,37,37.52466583,126.91802216,서울 영등포구 여의도동 18,서울,영등포구,여의도동,18.0,,bike43,43
92,ST-73,207,여의나루역 1번출구 앞,42,37.52698898,126.93209839,서울 영등포구 여의도동 2-1,서울,영등포구,여의도동,2.0,1.0,bike53,53
93,ST-55,209,유진투자증권빌딩 앞,14,37.52461243,126.92783356,서울 영등포구 여의도동 24-3,서울,영등포구,여의도동,24.0,3.0,bike51,51
94,ST-56,210,IFC몰,23,37.52606583,126.92553711,서울 영등포구 여의도동 2-11,서울,영등포구,여의도동,2.0,11.0,bike49,49
95,ST-57,211,여의도역 4번출구 옆,15,37.52222824,126.92463684,서울 영등포구 여의도동 26-4,서울,영등포구,여의도동,26.0,4.0,bike49,49
96,ST-58,212,여의도역 1번출구 옆,37,37.5213623,126.92346191,서울 영등포구 여의도동 27-2,서울,영등포구,여의도동,27.0,2.0,bike48,48
97,ST-59,213,KT앞,17,37.52190781,126.91895294,서울 영등포구 여의도동 28-2,서울,영등포구,여의도동,28.0,2.0,bike44,44
98,ST-60,214,금융감독원 앞,22,37.5230217,126.9208374,서울 영등포구 여의도동 27,서울,영등포구,여의도동,27.0,,bike46,46
99,ST-64,215,여의도고교 앞,12,37.52483749,126.93490601,서울 영등포구 여의도동 3,서울,영등포구,여의도동,3.0,,bike55,55
100,ST-65,216,삼부아파트1동 앞,12,37.52349091,126.93289948,서울 영등포구 여의도동 4,서울,영등포구,여의도동,4.0,,bike54,54
101,ST-66,217,NH농협은행 앞,12,37.52207947,126.93036652,서울 영등포구 여의도동 34-7,서울,영등포구,여의도동,34.0,7.0,bike52,52
102,ST-61,218,증권거래소 앞,22,37.52327728,126.92923737,서울 영등포구 여의도동 33,서울,영등포구,여의도동,33.0,,bike52,52
103,ST-62,219,롯데캐슬엠파이어 옆,14,37.52069473,126.92583466,서울 영등포구 여의도동 36,서울,영등포구,여의도동,36.0,,bike50,50
104,ST-63,220,미성아파트 A동 앞,32,37.5193634,126.92604828,서울 영등포구 여의도동 3-6,서울,영등포구,여의도동,3.0,6.0,bike50,50
105,ST-67,221,여의도초교 앞,12,37.52267456,126.93778992,서울 영등포구 여의도동 50,서울,영등포구,여의도동,50.0,,bike56,56
106,ST-68,222,시범아파트버스정류장 옆,14,37.51943588,126.93759918,서울 영등포구 여의도동 6,서울,영등포구,여의도동,6.0,,bike54,54
107,ST-69,223,진주아파트상가 앞,22,37.51931381,126.9331665,서울 영등포구 여의도동 53-1,서울,영등포구,여의도동,53.0,1.0,bike54,54
108,ST-70,224,롯데캐슬 앞,22,37.5200882,126.93236542,서울 영등포구 여의도동 43-4,서울,영등포구,여의도동,43.0,4.0,bike53,53
109,ST-71,225,앙카라공원 앞,28,37.51736832,126.92925262,서울 영등포구 여의도동 56,서울,영등포구,여의도동,56.0,,bike52,52
110,ST-72,226,샛강역 1번출구 앞,22,37.51776505,126.92841339,서울 영등포구 여의도동 46,서울,영등포구,여의도동,46.0,,bike51,51
111,ST-277,227,양평2나들목 보행통로 입구,12,37.54466629,126.88835907,서울 영등포구 양평동6가 95-3,서울,영등포구,양평동6가,95.0,3.0,bike29,29
112,ST-278,228,선유도역 3번출구 앞,12,37.53845978,126.89450836,서울 영등포구 양평동4가 202-1,서울,영등포구,양평동4가,202.0,1.0,bike32,32
113,ST-279,229,양평1 보행육교 앞,22,37.53587341,126.8921814,서울 영등포구 양평동5가 1-1,서울,영등포구,양평동5가,1.0,1.0,bike31,31
114,ST-413,230,영등포구청역 1번출구,12,37.52463531,126.89621735,서울 영등포구 당산동3가 270-1,서울,영등포구,당산동3가,270.0,1.0,bike32,32
115,ST-280,231,남부고용노동지청 남측,12,37.52450562,126.89182281,서울 영등포구 양평동1가 115,서울,영등포구,양평동1가,115.0,,bike31,31
116,ST-281,232,양평우림 이비즈센타 앞,22,37.52565002,126.88781738,서울 영등포구 양평동3가 16,서울,영등포구,양평동3가,16.0,,bike28,28
117,ST-282,233,YP 센터 앞,12,37.52848816,126.89164734,서울 영등포구 양평동3가 60,서울,영등포구,양평동3가,60.0,,bike31,31
118,ST-283,234,영등포구민체육센터 앞,12,37.50046158,126.90584564,서울 영등포구 신길동 426-3,서울,영등포구,신길동,426.0,3.0,bike38,38
119,ST-284,235,신길동 우리은행 옆,12,37.50456619,126.91023254,서울 영등포구 신길동 252-9,서울,영등포구,신길동,252.0,9.0,bike40,40
120,ST-285,236,문래동자이아파트 앞,12,37.51615524,126.89461517,서울 영등포구 문래동3가 54,서울,영등포구,문래동3가,54.0,,bike32,32
121,ST-286,237,보라매 두산위브 건너편,22,37.49651337,126.91480255,서울 동작구 신대방동 492-123,서울,동작구,신대방동,492.0,123.0,bike34,34
122,ST-287,238,제2구민체육센타 앞,12,37.52638626,126.90275574,서울 영등포구 당산동4가 96-2,서울,영등포구,당산동4가,96.0,2.0,bike36,36
123,ST-288,239,유스호스텔 앞,22,37.5258522,126.90328217,서울 영등포구 영등포동7가 58-2,서울,영등포구,영등포동7가,58.0,2.0,bike36,36
124,ST-289,240,문래역 4번출구 앞,12,37.51873779,126.89557648,서울 영등포구 문래동3가 55-3,서울,영등포구,문래동3가,55.0,3.0,bike32,32
125,ST-290,241,신길우성1차아파트 앞 공원,12,37.50532913,126.89848328,서울 영등포구 신길동 367,서울,영등포구,신길동,367.0,,bike34,34
126,ST-291,242,신길선원가와인아파트 앞,17,37.51093292,126.91022491,서울 영등포구 신길동 220-148,서울,영등포구,신길동,220.0,148.0,bike39,39
127,ST-292,243,이앤씨드림타워 앞,17,37.52708435,126.89138031,서울 영등포구 양평동3가 48,서울,영등포구,양평동3가,48.0,,bike30,30
128,ST-293,244,영등포삼환아파트 앞,22,37.53007889,126.90570831,서울 영등포구 영등포동8가 82-4,서울,영등포구,영등포동8가,82.0,4.0,bike37,37
129,ST-294,245,삼성생명 당산사옥 앞,12,37.52826309,126.89662933,서울 영등포구 당산동4가 38-1,서울,영등포구,당산동4가,38.0,1.0,bike33,33
130,ST-295,247,당산역 10번출구 앞,17,37.53368759,126.90210724,서울 영등포구 당산동5가 14-4,서울,영등포구,당산동5가,14.0,4.0,bike35,35
131,ST-296,248,초원아파트 앞,12,37.53105545,126.92420959,서울 영등포구 여의도동 8-13,서울,영등포구,여의도동,8.0,13.0,bike48,48
132,ST-297,249,여의도중학교 옆,10,37.52412033,126.93654633,서울 영등포구 여의도동 8,서울,영등포구,여의도동,8.0,,bike56,56
133,ST-298,250,대림아파트 사거리,12,37.50764084,126.92308044,서울 영등포구 신길동 1194,서울,영등포구,신길동,1194.0,,bike45,45
134,ST-299,251,서울지방병무청 버스정류장,12,37.50449371,126.92195129,서울 영등포구 신길동 853,서울,영등포구,신길동,853.0,,bike42,42
135,ST-300,252,보라매역4번출구,12,37.49982834,126.91994476,서울 영등포구 신길동 4884,서울,영등포구,신길동,4884.0,,bike36,36
136,ST-301,253,신풍역 5번출구 인근,12,37.5006485,126.90951538,서울 영등포구 신길동 3591,서울,영등포구,신길동,3591.0,,bike38,38
137,ST-302,254,도림신협 앞,12,37.50380325,126.90341949,서울 영등포구 신길동 397-1,서울,영등포구,신길동,397.0,1.0,bike36,36
138,ST-303,255,도림4거리,12,37.50657272,126.90113068,서울 영등포구 신길동 373,서울,영등포구,신길동,373.0,,bike35,35
139,ST-304,256,동아에코빌입구,12,37.50947571,126.89929962,서울 영등포구 도림동 158-3,서울,영등포구,도림동,158.0,3.0,bike34,34
140,ST-305,257,신길삼거리(우리은행),12,37.51384354,126.9193573,서울 영등포구 신길동 95-255,서울,영등포구,신길동,95.0,255.0,bike45,45
141,ST-306,258,신길역3번출구,16,37.51769257,126.91429901,서울 영등포구 영등포동1가 35,서울,영등포구,영등포동1가,35.0,,bike41,41
142,ST-307,259,대방역6번출구,19,37.51359177,126.92593384,서울 영등포구 신길동 1367-2,서울,영등포구,신길동,1367.0,2.0,bike50,50
143,ST-414,260,여의도 마리나선착장 앞,17,37.53365707,126.91216278,서울 영등포구 여의도동 8,서울,영등포구,여의도동,8.0,,bike40,40
144,ST-416,262,영문초등학교 사거리,14,37.51992798,126.88918304,서울 영등포구 문래동6가 10-1,서울,영등포구,문래동6가,10.0,1.0,bike29,29
145,ST-417,263,근로자회관 사거리,14,37.51715088,126.8886261,서울 영등포구 문래동5가 1-1,서울,영등포구,문래동5가,1.0,1.0,bike29,29
146,ST-418,264,교보생명보험 앞,17,37.52193069,126.89161682,서울 영등포구 당산동2가 30-1,서울,영등포구,당산동2가,30.0,1.0,bike31,31
147,ST-419,265,영등포유통상가 사거리,17,37.52113342,126.89653778,서울 영등포구 당산동1가 16-1,서울,영등포구,당산동1가,16.0,1.0,bike33,33
148,ST-420,266,영등포청과시장 사거리,12,37.52029419,126.90119171,서울 영등포구 영등포동4가 151-2,서울,영등포구,영등포동4가,151.0,2.0,bike35,35
149,ST-421,267,삼성화재 사옥 옆,12,37.53596115,126.89830017,서울 영등포구 양평동4가 156-1,서울,영등포구,양평동4가,156.0,1.0,bike34,34
150,ST-422,268,그랜드컨벤션센터 앞,8,37.53471756,126.90000153,서울 영등포구 당산동5가 33-4,서울,영등포구,당산동5가,33.0,4.0,bike35,35
151,ST-424,270,증권거래소후문교차로,12,37.52234268,126.92710114,서울 영등포구 여의도동 3-4,서울,영등포구,여의도동,3.0,4.0,bike50,50
152,ST-425,271,샛강생태공원방문자센터 앞,12,37.51896286,126.9216156,서울 영등포구 여의도동 4-9,서울,영등포구,여의도동,4.0,9.0,bike46,46
153,ST-426,272,당산육갑문,22,37.53533936,126.90367889,서울 영등포구 당산동6가 281-1,서울,영등포구,당산동6가,281.0,1.0,bike36,36
154,ST-1319,274,영등포역지하쇼핑센타 5번출구,12,37.51665115,126.9079895,서울 영등포구 영등포동 618-496,서울,영등포구,영등포동,618.0,496.0,bike39,39
155,ST-1320,275,신동아아파트,12,37.5228157,126.88565063,서울 영등포구 양평동1가 27-1,서울,영등포구,양평동1가,27.0,1.0,bike28,28
156,ST-1321,276,SK 영등포주유소,12,37.51828384,126.9126358,서울 영등포구 영등포동1가 95-1,서울,영등포구,영등포동1가,95.0,1.0,bike41,41
157,ST-1322,277,영등포뉴타운지하상가 2번게이트,12,37.52011871,126.90516663,서울 영등포구 영등포동5가 24-1,서울,영등포구,영등포동5가,24.0,1.0,bike37,37
158,ST-1323,278,쌍용플레티넘오피스텔,12,37.50793076,126.89523315,서울 영등포구 도림동 263,서울,영등포구,도림동,263.0,,bike32,32
159,ST-1353,279,영등포 푸르지오 아파트,17,37.51322937,126.90446472,서울 영등포구 영등포동 647-1,서울,영등포구,영등포동,647.0,1.0,bike37,37
160,ST-1539,280,양평동6차현대아파트 앞,12,37.53210068,126.8944397,서울 영등포구 양평동3가 101,서울,영등포구,양평동3가,101.0,,bike31,31
161,ST-1540,281,신동아아파트 앞,10,37.49824142,126.89398193,서울 구로구 구로동 68-1,서울,구로구,구로동,68.0,1.0,bike31,31
162,ST-1541,282,신한은행,12,37.48752975,126.90487671,서울 영등포구 대림동 993-74,서울,영등포구,대림동,993.0,74.0,bike26,26
163,ST-1649,283,아크로타워 스퀘어(영등포시장),17,37.52251816,126.90721893,서울 영등포구 영등포동7가 203-1,서울,영등포구,영등포동7가,203.0,1.0,bike38,38
164,ST-1650,284,센트럴 푸르지오 시티 앞,14,37.51821136,126.90222931,서울 영등포구 영등포동4가 442-5,서울,영등포구,영등포동4가,442.0,5.0,bike36,36
165,ST-1651,285,대림3동사거리(하나은행),10,37.49985886,126.89723969,서울 영등포구 대림동 779-10,서울,영등포구,대림동,779.0,10.0,bike33,33
166,ST-1652,286,우성아파트 교차로,10,37.49457169,126.89974976,서울 영등포구 대림동 697-2,서울,영등포구,대림동,697.0,2.0,bike32,32
167,ST-1653,287,영등포전화국사거리 (서강어린이공원),12,37.52576828,126.90573883,서울 영등포구 영등포동8가 28,서울,영등포구,영등포동8가,28.0,,bike37,37
168,ST-1677,288,쌍용예가(구청별관),12,37.52809906,126.89338684,서울 영등포구 당산동3가 560-1,서울,영등포구,당산동3가,560.0,1.0,bike31,31
169,ST-1697,289,대림3동사거리,12,37.49980927,126.89800262,서울 영등포구 대림동 669,서울,영등포구,대림동,669.0,,bike33,33
170,ST-1698,290,당산동 SK V1 빌딩,14,37.5315094,126.89782715,서울 영등포구 당산동4가 85,서울,영등포구,당산동4가,85.0,,bike33,33
171,ST-1699,291,문래동 하이테크 시티,16,37.51385117,126.89888,서울 영등포구 문래동3가 54-10,서울,영등포구,문래동3가,54.0,10.0,bike34,34
172,ST-1700,292,영일 어린이공원,12,37.51012039,126.90406799,서울 영등포구 영등포동 647-3,서울,영등포구,영등포동,647.0,3.0,bike37,37
173,ST-1701,293,충북 미래관,17,37.52917099,126.90757751,서울 영등포구 당산동 121-280,서울,영등포구,당산동,121.0,280.0,bike38,38
174,ST-1967,295,영등포공원 분수대 앞,10,37.51482391,126.91188049,서울 영등포구 영등포동 582-17,서울,영등포구,영등포동,582.0,17.0,bike40,40
175,ST-1968,296,KT플라자 영등포점,15,37.52630234,126.90538025,서울 영등포구 영등포동8가 29-1,서울,영등포구,영등포동8가,29.0,1.0,bike37,37
176,ST-1969,297,국회3문,20,37.52863693,126.91267395,서울 영등포구 여의도동 8,서울,영등포구,여의도동,8.0,,bike41,41
177,ST-1970,298,KBS 연구동 건너편,20,37.52750778,126.91429901,서울 영등포구 여의도동 1-1,서울,영등포구,여의도동,1.0,1.0,bike41,41
178,ST-1971,299,여의도 순복음교회,10,37.53179169,126.92245483,서울 영등포구 여의도동 8,서울,영등포구,여의도동,8.0,,bike47,47
179,ST-116,300,정동사거리,9,37.56805038,126.96923065,서울 중구 충정로1가 51-5,서울,중구,충정로1가,51.0,5.0,bike65,65
